model,variant_id,level,template_id,field,row,auto_category,detail,ground_truth,predicted,reviewed_category,reviewer_note,suggested_category,suggestion_basis,self_consistency
qwen/qwen3-vl-32b-instruct,syn00051__L0_clean,L0_clean,t04,cgst_amount,,wrong_value,needs review,186612.45,104628.38,,"EVIDENCE: header total on a >=23-line-item table, clean render. 28/28 such errors land on the 4 longest docs (4%% of corpus). Header acc collapses 95->68 (minimax) / 94->59 (qwen) on these.",AMBIGUOUS-numeric,"unrelated number (186612.45 vs 104628.38, 44% off)",0.89
qwen/qwen3-vl-32b-instruct,syn00008__L0_clean,L0_clean,t09,hsn_sac,0,wrong_value,needs review,1905,556BOX,,,AMBIGUOUS-text,unrelated (fuzzy 19),1.00
qwen/qwen3-vl-32b-instruct,syn00023__L1_scan,L1_scan,t12,cgst_amount,,wrong_value,needs review,114721.08,57893.29,,"EVIDENCE: header total on a >=23-line-item table, clean render. 28/28 such errors land on the 4 longest docs (4%% of corpus). Header acc collapses 95->68 (minimax) / 94->59 (qwen) on these.",AMBIGUOUS-numeric,"unrelated number (114721.08 vs 57893.29, 50% off)",0.89
qwen/qwen3-vl-32b-instruct,syn00023__L1_scan,L1_scan,t12,total_taxable_value,,wrong_value,needs review,1547493.32,1272437.28,,"EVIDENCE: header total on a >=23-line-item table, clean render. 28/28 such errors land on the 4 longest docs (4%% of corpus). Header acc collapses 95->68 (minimax) / 94->59 (qwen) on these.",AMBIGUOUS-numeric,"unrelated number (1547493.32 vs 1272437.28, 18% off)",0.89
qwen/qwen3-vl-32b-instruct,syn00051__L1_scan,L1_scan,t04,cgst_amount,,wrong_value,needs review,186612.45,102250.29,,"EVIDENCE: header total on a >=23-line-item table, clean render. 28/28 such errors land on the 4 longest docs (4%% of corpus). Header acc collapses 95->68 (minimax) / 94->59 (qwen) on these.",AMBIGUOUS-numeric,"unrelated number (186612.45 vs 102250.29, 45% off)",0.89
qwen/qwen3-vl-32b-instruct,syn00023__L1_scan,L1_scan,t12,sgst_amount,,wrong_value,needs review,114721.08,57893.29,,"EVIDENCE: header total on a >=23-line-item table, clean render. 28/28 such errors land on the 4 longest docs (4%% of corpus). Header acc collapses 95->68 (minimax) / 94->59 (qwen) on these.",AMBIGUOUS-numeric,"unrelated number (114721.08 vs 57893.29, 50% off)",0.89
qwen/qwen3-vl-32b-instruct,syn00051__L1_scan,L1_scan,t04,total_taxable_value,,wrong_value,needs review,2674669.59,1709594.58,,"EVIDENCE: header total on a >=23-line-item table, clean render. 28/28 such errors land on the 4 longest docs (4%% of corpus). Header acc collapses 95->68 (minimax) / 94->59 (qwen) on these.",AMBIGUOUS-numeric,"unrelated number (2674669.59 vs 1709594.58, 36% off)",0.89
qwen/qwen3-vl-32b-instruct,syn00014__L1_scan,L1_scan,t03,seller_gstin,,wrong_value,needs review,09HKXPA4424J7ZH,09HXPA424J7ZH,,,character_misread,edit distance 2,0.67
qwen/qwen3-vl-32b-instruct,syn00051__L1_scan,L1_scan,t04,sgst_amount,,wrong_value,needs review,186612.45,102250.29,,"EVIDENCE: header total on a >=23-line-item table, clean render. 28/28 such errors land on the 4 longest docs (4%% of corpus). Header acc collapses 95->68 (minimax) / 94->59 (qwen) on these.",AMBIGUOUS-numeric,"unrelated number (186612.45 vs 102250.29, 45% off)",0.89
qwen/qwen3-vl-32b-instruct,syn00026__L1_scan,L1_scan,t03,reverse_charge,,wrong_value,needs review,True,False,,,AMBIGUOUS-text,unrelated (fuzzy 22),1.00
qwen/qwen3-vl-32b-instruct,syn00023__L2_photo,L2_photo,t12,cgst_amount,,wrong_value,needs review,114721.08,114519.36,,,AMBIGUOUS-numeric,"unrelated number (114721.08 vs 114519.36, 0% off)",0.78
qwen/qwen3-vl-32b-instruct,syn00020__L2_photo,L2_photo,t09,buyer_gstin,,wrong_value,needs review,09BNHPS4591I3Z9,09BNIPS45911329,,,character_misread,fuzzy 80,0.50
qwen/qwen3-vl-32b-instruct,syn00051__L2_photo,L2_photo,t04,cgst_amount,,wrong_value,needs review,186612.45,127225.42,,,AMBIGUOUS-numeric,"unrelated number (186612.45 vs 127225.42, 32% off)",0.89
qwen/qwen3-vl-32b-instruct,syn00024__L2_photo,L2_photo,t01,irn,,wrong_value,needs review,97C3327BBE2BBF605B6EEE62A93CA433394744925BDED0F0B4C6F590B1E56644,97C3327BBE2BBF605B6EEC62A93CA433394744925BED0F0B4C6F590BLE56644,,,character_misread,fuzzy 96,1.00
qwen/qwen3-vl-32b-instruct,syn00023__L2_photo,L2_photo,t12,total_taxable_value,,wrong_value,needs review,1547493.32,1272437.28,,,AMBIGUOUS-numeric,"unrelated number (1547493.32 vs 1272437.28, 18% off)",0.78
qwen/qwen3-vl-32b-instruct,syn00051__L2_photo,L2_photo,t04,grand_total,,wrong_value,needs review,3047894.00,2027410.70,,,AMBIGUOUS-numeric,"unrelated number (3047894.00 vs 2027410.70, 33% off)",0.89
qwen/qwen3-vl-32b-instruct,syn00055__L2_photo,L2_photo,t08,grand_total,,wrong_value,needs review,1562897.00,1562896.93,,,character_misread,within 0.1% (1562897.00 vs 1562896.93),0.88
qwen/qwen3-vl-32b-instruct,syn00008__L2_photo,L2_photo,t09,seller_gstin,,wrong_value,needs review,07TKUPB1538E1ZR,07KXFB1536BZR,,,AMBIGUOUS-text,unrelated (fuzzy 64),0.50
qwen/qwen3-vl-32b-instruct,syn00020__L2_photo,L2_photo,t09,quantity,4,wrong_value,needs review,3.000,100.000,,,AMBIGUOUS-numeric,"unrelated number (3.00 vs 100.00, 3233% off)",0.50
qwen/qwen3-vl-32b-instruct,syn00008__L2_photo,L2_photo,t09,hsn_sac,0,wrong_value,needs review,1905,HSN1905,,,AMBIGUOUS-text,unrelated (fuzzy 72),0.50
qwen/qwen3-vl-32b-instruct,syn00020__L2_photo,L2_photo,t09,quantity,0,wrong_value,needs review,11.000,1100.000,,,AMBIGUOUS-numeric,"unrelated number (11.00 vs 1100.00, 9900% off)",0.50
qwen/qwen3-vl-32b-instruct,syn00020__L2_photo,L2_photo,t09,quantity,2,wrong_value,needs review,11.000,1170.000,,,AMBIGUOUS-numeric,"unrelated number (11.00 vs 1170.00, 10536% off)",0.50
qwen/qwen3-vl-32b-instruct,syn00020__L2_photo,L2_photo,t09,unit,1,wrong_value,needs review,NOS,X,,,AMBIGUOUS-text,unrelated (fuzzy 0),0.50
qwen/qwen3-vl-32b-instruct,syn00020__L2_photo,L2_photo,t09,quantity,1,wrong_value,needs review,12.000,1200.000,,,AMBIGUOUS-numeric,"unrelated number (12.00 vs 1200.00, 9900% off)",0.50
qwen/qwen3-vl-32b-instruct,syn00020__L2_photo,L2_photo,t09,unit,0,wrong_value,needs review,NOS,X,,,AMBIGUOUS-text,unrelated (fuzzy 0),0.50
qwen/qwen3-vl-32b-instruct,syn00008__L2_photo,L2_photo,t09,hsn_sac,1,wrong_value,needs review,4819,HSN4815,,,AMBIGUOUS-text,unrelated (fuzzy 54),0.50
qwen/qwen3-vl-32b-instruct,syn00019__L3_harsh,L3_harsh,t08,sgst_amount,,wrong_value,needs review,18296.68,38290.60,,,field_confusion,predicted = taxable x 18%/2 (computed CGST/SGST),0.44
qwen/qwen3-vl-32b-instruct,syn00058__L3_harsh,L3_harsh,t11,buyer_address,,wrong_value,needs review,423 industrial estate siliguri west bengal 715969,house 423 industrial estate ghaziabad uttar pradesh 201001,,,entity_substitution,kept '423 estate industrial',0.78
qwen/qwen3-vl-32b-instruct,syn00022__L3_harsh,L3_harsh,t11,invoice_number,,wrong_value,needs review,7999,2023-07-11,,,AMBIGUOUS-text,unrelated (fuzzy 14),0.50
qwen/qwen3-vl-32b-instruct,syn00064__L3_harsh,L3_harsh,t05,total_taxable_value,,wrong_value,needs review,75221.92,1273.20,,,AMBIGUOUS-numeric,"unrelated number (75221.92 vs 1273.20, 98% off)",0.70
qwen/qwen3-vl-32b-instruct,syn00042__L3_harsh,L3_harsh,t07,buyer_gstin,,wrong_value,needs review,36JNJCM6473S6ZB,27BBBBB0000B2Z6,,,AMBIGUOUS-text,unrelated (fuzzy 13),0.78
qwen/qwen3-vl-32b-instruct,syn00048__L3_harsh,L3_harsh,t01,buyer_address,,wrong_value,needs review,63 mg chennai tamil nadu 615114,63 saki chennai tamil nadu 600114,,,character_misread,fuzzy 84,0.40
qwen/qwen3-vl-32b-instruct,syn00059__L3_harsh,L3_harsh,t12,grand_total,,wrong_value,needs review,203230.00,282306.94,,,AMBIGUOUS-numeric,"unrelated number (203230.00 vs 282306.94, 39% off)",0.40
qwen/qwen3-vl-32b-instruct,syn00013__L3_harsh,L3_harsh,t02,buyer_name,,wrong_value,needs review,chowdhury pharma,chandru pharma,,,entity_substitution,kept 'pharma',0.44
qwen/qwen3-vl-32b-instruct,syn00033__L3_harsh,L3_harsh,t10,discount,6,wrong_value,needs review,3320.22,10.00,,,AMBIGUOUS-numeric,"unrelated number (3320.22 vs 10.00, 100% off)",0.60
qwen/qwen3-vl-32b-instruct,syn00009__L3_harsh,L3_harsh,t10,description,15,wrong_value,needs review,foam mattress 72x36,toilet mattress 70x38,,,entity_substitution,kept 'mattress',0.40
qwen/qwen3-vl-32b-instruct,syn00055__L3_harsh,L3_harsh,t08,description,15,wrong_value,needs review,hdpe packing bags,welding rods 10 kgs,,,AMBIGUOUS-text,unrelated (fuzzy 38),0.50
qwen/qwen3-vl-32b-instruct,syn00009__L3_harsh,L3_harsh,t10,unit_price,10,wrong_value,needs review,49611.36,4980.38,,,character_misread,digit slip 10x (49611.36 vs 4980.38),0.40
qwen/qwen3-vl-32b-instruct,syn00040__L3_harsh,L3_harsh,t05,taxable_value,3,wrong_value,needs review,6989.26,1352.76,,,AMBIGUOUS-numeric,"unrelated number (6989.26 vs 1352.76, 81% off)",0.50
qwen/qwen3-vl-32b-instruct,syn00055__L3_harsh,L3_harsh,t08,hsn_sac,1,wrong_value,needs review,2106,3926,,,AMBIGUOUS-numeric,"unrelated number (2106.00 vs 3926.00, 86% off)",0.50
qwen/qwen3-vl-32b-instruct,syn00026__L3_harsh,L3_harsh,t03,description,1,wrong_value,needs review,hdpe packing bags,dyeing spinning base,,,AMBIGUOUS-text,unrelated (fuzzy 59),0.70
qwen/qwen3-vl-32b-instruct,syn00042__L3_harsh,L3_harsh,t07,quantity,0,wrong_value,needs review,94.838,100.000,,,AMBIGUOUS-numeric,"unrelated number (94.84 vs 100.00, 5% off)",0.78
